Date,Hr 1,Hr 2,Hr 3,Hr 4,Hr 5,Hr 6,Hr 7,Hr 8,Hr 9,Hr 10,Hr 11,Hr 12,Hr 13,Hr 14,Hr 15,Hr 16,Hr 17,Hr 18,Hr 19,Hr 20,Hr 21,Hr 22,Hr 23,Hr 24,2nd HR 2,Notes
2007-07-01,1128,1072,1042,1027,1022,1010,1032,1084,1150,1221,1254,1302,1337,1362,1385,1415,1439,1456,1457,1437,1415,1409,1337,1209,,
2007-07-02,1131,1092,1063,1046,1041,1071,1143,1239,1332,1390,1462,1501,1523,1558,1559,1587,1579,1572,1555,1516,1479,1458,1394,1264,,
2007-07-03,1176,1131,1089,1093,1079,1100,1181,1275,1355,1425,1466,1497,1520,1545,1567,1576,1577,1564,1541,1501,1467,1435,1373,1256,,
2007-07-04,1171,1116,1080,1054,1056,1056,1073,1156,1227,1299,1357,1375,1409,1424,1443,1470,1472,1469,1451,1432,1429,1369,1314,1247,,
2007-07-05,1185,1115,1072,1064,1049,1061,1128,1237,1336,1402,1474,1507,1542,1590,1612,1641,1652,1632,1604,1600,1560,1530,1484,1354,,
2007-07-06,1253,1196,1148,1130,1129,1138,1204,1307,1389,1483,1545,1592,1643,1677,1686,1690,1693,1640,1598,1562,1525,1504,1434,1344,,
2007-07-07,1266,1217,1174,1145,1136,1141,1143,1208,1277,1365,1425,1470,1494,1508,1518,1524,1503,1490,1440,1361,1334,1321,1254,1185,,
2007-07-08,1103,1080,1068,1058,1053,1047,1057,1098,1175,1231,1269,1322,1348,1367,1391,1398,1432,1445,1441,1425,1399,1391,1337,1218,,
2007-07-09,1140,1098,1064,1061,1052,1089,1150,1251,1331,1399,1439,1466,1501,1497,1514,1520,1519,1492,1478,1430,1381,1350,1296,1181,,
2007-07-10,1104,1061,1044,1034,1031,1065,1138,1219,1296,1342,1375,1389,1408,1442,1452,1463,1478,1461,1443,1430,1394,1375,1316,1199,,
2007-07-11,1126,1086,1059,1053,1040,1051,1113,1196,1257,1312,1357,1389,1416,1435,1459,1482,1502,1500,1492,1465,1443,1434,1371,1247,,
2007-07-12,1170,1123,1081,1076,1078,1106,1168,1264,1322,1379,1437,1468,1499,1522,1551,1581,1603,1589,1567,1535,1500,1491,1405,1296,,
2007-07-13,1194,1161,1117,1103,1103,1122,1178,1278,1360,1423,1473,1524,1562,1592,1609,1634,1637,1604,1559,1517,1468,1460,1398,1297,,
2007-07-14,1211,1171,1122,1106,1095,1095,1118,1183,1269,1347,1423,1468,1498,1526,1536,1546,1550,1516,1480,1451,1420,1407,1344,1258,,
2007-07-15,1170,1129,1092,1082,1073,1070,1069,1124,1186,1264,1323,1384,1429,1458,1484,1513,1522,1529,1507,1470,1441,1445,1371,1251,,
