H1 0, H2 5, Mean daily skill: -2%, Daily Skills >0: 40%
H1 0, H2 6, Mean daily skill: -5%, Daily Skills >0: 26%
H1 0, H2 7, Mean daily skill: -6%, Daily Skills >0: 29%
H1 0, H2 8, Mean daily skill: -4%, Daily Skills >0: 34%
H1 0, H2 9, Mean daily skill: -2%, Daily Skills >0: 46%
H1 0, H2 10, Mean daily skill: -0%, Daily Skills >0: 49%
H1 0, H2 11, Mean daily skill: 1%, Daily Skills >0: 54%
H1 0, H2 12, Mean daily skill: 2%, Daily Skills >0: 54%
H1 0, H2 13, Mean daily skill: 2%, Daily Skills >0: 51%
H1 0, H2 14, Mean daily skill: 1%, Daily Skills >0: 54%
H1 0, H2 15, Mean daily skill: 0%, Daily Skills >0: 54%
H1 0, H2 16, Mean daily skill: -0%, Daily Skills >0: 51%
H1 0, H2 17, Mean daily skill: 0%, Daily Skills >0: 54%
H1 0, H2 18, Mean daily skill: 1%, Daily Skills >0: 51%
H1 0, H2 19, Mean daily skill: 1%, Daily Skills >0: 51%
H1 0, H2 20, Mean daily skill: 1%, Daily Skills >0: 49%
H1 0, H2 21, Mean daily skill: 1%, Daily Skills >0: 51%
H1 0, H2 22, Mean daily skill: -2%, Daily Skills >0: 49%
H1 0, H2 23, Mean daily skill: -4%, Daily Skills >0: 43%
H1 1, H2 6, Mean daily skill: -5%, Daily Skills >0: 26%
H1 1, H2 7, Mean daily skill: -5%, Daily Skills >0: 31%
H1 1, H2 8, Mean daily skill: -4%, Daily Skills >0: 31%
H1 1, H2 9, Mean daily skill: -2%, Daily Skills >0: 46%
H1 1, H2 10, Mean daily skill: -0%, Daily Skills >0: 49%
H1 1, H2 11, Mean daily skill: 1%, Daily Skills >0: 54%
H1 1, H2 12, Mean daily skill: 2%, Daily Skills >0: 54%
H1 1, H2 13, Mean daily skill: 2%, Daily Skills >0: 51%
H1 1, H2 14, Mean daily skill: 1%, Daily Skills >0: 51%
H1 1, H2 15, Mean daily skill: 0%, Daily Skills >0: 51%
H1 1, H2 16, Mean daily skill: -0%, Daily Skills >0: 49%
H1 1, H2 17, Mean daily skill: 0%, Daily Skills >0: 51%
H1 1, H2 18, Mean daily skill: 1%, Daily Skills >0: 51%
H1 1, H2 19, Mean daily skill: 1%, Daily Skills >0: 51%
H1 1, H2 20, Mean daily skill: 1%, Daily Skills >0: 49%
H1 1, H2 21, Mean daily skill: 1%, Daily Skills >0: 49%
H1 1, H2 22, Mean daily skill: -1%, Daily Skills >0: 49%
H1 1, H2 23, Mean daily skill: -4%, Daily Skills >0: 43%
H1 2, H2 7, Mean daily skill: -5%, Daily Skills >0: 26%
H1 2, H2 8, Mean daily skill: -4%, Daily Skills >0: 31%
H1 2, H2 9, Mean daily skill: -2%, Daily Skills >0: 43%
H1 2, H2 10, Mean daily skill: 0%, Daily Skills >0: 49%
H1 2, H2 11, Mean daily skill: 1%, Daily Skills >0: 51%
H1 2, H2 12, Mean daily skill: 2%, Daily Skills >0: 54%
H1 2, H2 13, Mean daily skill: 2%, Daily Skills >0: 51%
H1 2, H2 14, Mean daily skill: 2%, Daily Skills >0: 54%
H1 2, H2 15, Mean daily skill: 0%, Daily Skills >0: 54%
H1 2, H2 16, Mean daily skill: -0%, Daily Skills >0: 51%
