,offset,h1,h2,skills_mean,skills_pos
0,0.0,0.0,5.0,0.012,0.56
1,0.0,0.0,6.0,-0.003,0.56
2,0.0,0.0,7.0,-0.014,0.56
3,0.0,0.0,8.0,-0.008,0.56
4,0.0,0.0,9.0,0.013,0.56
5,0.0,0.0,10.0,0.025,0.56
6,0.0,0.0,11.0,0.036,0.56
7,0.0,0.0,12.0,0.034,0.56
8,0.0,0.0,13.0,0.039,0.6
9,0.0,0.0,14.0,0.049,0.68
10,0.0,0.0,15.0,0.047,0.68
11,0.0,0.0,16.0,0.055,0.64
12,0.0,0.0,17.0,0.058,0.68
13,0.0,0.0,18.0,0.053,0.64
14,0.0,0.0,19.0,0.058,0.64
15,0.0,0.0,20.0,0.057,0.68
16,0.0,0.0,21.0,0.059,0.64
17,0.0,0.0,22.0,0.064,0.64
18,0.0,0.0,23.0,0.067,0.64
19,0.0,0.0,24.0,0.068,0.64
20,0.0,1.0,6.0,-0.007,0.56
21,0.0,1.0,7.0,-0.018,0.56
22,0.0,1.0,8.0,-0.012,0.56
23,0.0,1.0,9.0,0.009,0.56
24,0.0,1.0,10.0,0.021,0.56
25,0.0,1.0,11.0,0.032,0.56
26,0.0,1.0,12.0,0.03,0.56
27,0.0,1.0,13.0,0.036,0.6
28,0.0,1.0,14.0,0.045,0.68
29,0.0,1.0,15.0,0.043,0.68
30,0.0,1.0,16.0,0.051,0.64
31,0.0,1.0,17.0,0.054,0.68
32,0.0,1.0,18.0,0.049,0.64
33,0.0,1.0,19.0,0.054,0.64
34,0.0,1.0,20.0,0.053,0.68
35,0.0,1.0,21.0,0.055,0.64
36,0.0,1.0,22.0,0.06,0.64
37,0.0,1.0,23.0,0.063,0.64
38,0.0,1.0,24.0,0.064,0.64
39,0.0,2.0,7.0,-0.021,0.56
40,0.0,2.0,8.0,-0.015,0.56
41,0.0,2.0,9.0,0.006,0.56
42,0.0,2.0,10.0,0.018,0.56
43,0.0,2.0,11.0,0.029,0.56
44,0.0,2.0,12.0,0.027,0.56
45,0.0,2.0,13.0,0.033,0.6
46,0.0,2.0,14.0,0.042,0.68
47,0.0,2.0,15.0,0.04,0.64
48,0.0,2.0,16.0,0.048,0.6
49,0.0,2.0,17.0,0.051,0.64
50,0.0,2.0,18.0,0.046,0.6
51,0.0,2.0,19.0,0.051,0.6
52,0.0,2.0,20.0,0.05,0.68
53,0.0,2.0,21.0,0.052,0.64
54,0.0,2.0,22.0,0.057,0.64
55,0.0,2.0,23.0,0.06,0.64
56,0.0,2.0,24.0,0.061,0.64
57,0.0,3.0,8.0,-0.016,0.56
58,0.0,3.0,9.0,0.004,0.56
59,0.0,3.0,10.0,0.016,0.56
60,0.0,3.0,11.0,0.027,0.56
