Datetime MT,Load (kW)
12/6/2005 00:00,0.98
12/6/2005 01:00,0.98
12/6/2005 02:00,0.98
12/6/2005 03:00,0.98
12/6/2005 04:00,0.98
12/6/2005 05:00,0.98
12/6/2005 06:00,0.98
12/6/2005 07:00,0.98
12/6/2005 08:00,0.98
12/6/2005 09:00,0.98
12/6/2005 10:00,0.98
12/6/2005 11:00,0.98
12/6/2005 12:00,0.98
12/6/2005 13:00,0.98
12/6/2005 14:00,0.98
12/6/2005 15:00,0.98
12/6/2005 16:00,0.98
12/6/2005 17:00,0.719
12/6/2005 18:00,1.024
12/6/2005 19:00,0.855
12/6/2005 20:00,1.088
12/6/2005 21:00,1.086
12/6/2005 22:00,1.046
12/6/2005 23:00,0.982
12/7/2005 00:00,1.016
12/7/2005 01:00,1.024
12/7/2005 02:00,1.017
12/7/2005 03:00,1.006
12/7/2005 04:00,1.039
12/7/2005 05:00,1.134
12/7/2005 06:00,1.47
12/7/2005 07:00,1.179
12/7/2005 08:00,0.952
12/7/2005 09:00,0.972
12/7/2005 10:00,1.006
12/7/2005 11:00,0.974
12/7/2005 12:00,1.085
12/7/2005 13:00,1.108
12/7/2005 14:00,1.039
12/7/2005 15:00,0.931
12/7/2005 16:00,0.852
12/7/2005 17:00,0.916
12/7/2005 18:00,1.25
12/7/2005 19:00,1.104
12/7/2005 20:00,1.585
12/7/2005 21:00,1.498
12/7/2005 22:00,1.009
12/7/2005 23:00,0.92
12/8/2005 00:00,1.032
12/8/2005 01:00,1.005
12/8/2005 02:00,1.009
12/8/2005 03:00,0.956
12/8/2005 04:00,1.01
12/8/2005 05:00,1.08
12/8/2005 06:00,1.401
12/8/2005 07:00,1.331
12/8/2005 08:00,1.391
12/8/2005 09:00,1.008
12/8/2005 10:00,1.01
12/8/2005 11:00,1.014
12/8/2005 12:00,1.345
12/8/2005 13:00,2.133
12/8/2005 14:00,1.708
12/8/2005 15:00,0.908
12/8/2005 16:00,1.028
12/8/2005 17:00,0.957
12/8/2005 18:00,1.212
12/8/2005 19:00,0.874
12/8/2005 20:00,1.161
12/8/2005 21:00,0.974
12/8/2005 22:00,0.864
12/8/2005 23:00,0.991
12/9/2005 00:00,0.95
12/9/2005 01:00,0.995
12/9/2005 02:00,0.905
12/9/2005 03:00,0.972
12/9/2005 04:00,1.023
12/9/2005 05:00,0.989
12/9/2005 06:00,1.387
12/9/2005 07:00,1.292
12/9/2005 08:00,1.057
12/9/2005 09:00,1.14
12/9/2005 10:00,1.279
12/9/2005 11:00,1.424
12/9/2005 12:00,2.657
12/9/2005 13:00,3.05
12/9/2005 14:00,3.175
12/9/2005 15:00,2.121
12/9/2005 16:00,0.902
12/9/2005 17:00,0.805
12/9/2005 18:00,1.06
12/9/2005 19:00,0.928
12/9/2005 20:00,1.033
12/9/2005 21:00,1.309
12/9/2005 22:00,0.894
12/9/2005 23:00,0.821
12/10/2005 00:00,0.896
12/10/2005 01:00,0.945
12/10/2005 02:00,0.781
12/10/2005 03:00,0.961
12/10/2005 04:00,0.967
12/10/2005 05:00,0.866
12/10/2005 06:00,0.934
12/10/2005 07:00,1.475
12/10/2005 08:00,1.354
12/10/2005 09:00,1.309
12/10/2005 10:00,1.582
12/10/2005 11:00,1.884
12/10/2005 12:00,3.328
12/10/2005 13:00,3.468
12/10/2005 14:00,2.993
12/10/2005 15:00,2.025
12/10/2005 16:00,1.006
12/10/2005 17:00,0.804
12/10/2005 18:00,1.31
12/10/2005 19:00,1.097
12/10/2005 20:00,1.1
12/10/2005 21:00,0.865
12/10/2005 22:00,0.695
12/10/2005 23:00,0.812
12/11/2005 00:00,0.873
12/11/2005 01:00,0.805
12/11/2005 02:00,0.848
12/11/2005 03:00,0.891
12/11/2005 04:00,0.857
12/11/2005 05:00,0.852
12/11/2005 06:00,1.019
12/11/2005 07:00,1.11
12/11/2005 08:00,1.079
12/11/2005 09:00,1.346
12/11/2005 10:00,1.466
12/11/2005 11:00,1.759
12/11/2005 12:00,3.171
12/11/2005 13:00,3.391
12/11/2005 14:00,2.999
12/11/2005 15:00,1.881
12/11/2005 16:00,0.819
12/11/2005 17:00,0.791
12/11/2005 18:00,0.676
12/11/2005 19:00,0.906
12/11/2005 20:00,0.979
12/11/2005 21:00,0.755
12/11/2005 22:00,0.738
12/11/2005 23:00,0.85
12/12/2005 00:00,0.736
12/12/2005 01:00,0.757
12/12/2005 02:00,0.841
12/12/2005 03:00,0.864
12/12/2005 04:00,0.84
12/12/2005 05:00,0.857
12/12/2005 06:00,1.213
12/12/2005 07:00,1.247
12/12/2005 08:00,0.83
12/12/2005 09:00,1.053
12/12/2005 10:00,1.278
12/12/2005 11:00,1.678
12/12/2005 12:00,3.064
12/12/2005 13:00,3.397
12/12/2005 14:00,2.887
12/12/2005 15:00,1.757
12/12/2005 16:00,0.763
12/12/2005 17:00,0.662
12/12/2005 18:00,0.966
12/12/2005 19:00,1.093
12/12/2005 20:00,1.039
12/12/2005 21:00,1.024
12/12/2005 22:00,0.708
12/12/2005 23:00,0.712
12/13/2005 00:00,0.695
12/13/2005 01:00,0.755
12/13/2005 02:00,0.729
12/13/2005 03:00,0.729
12/13/2005 04:00,0.768
12/13/2005 05:00,0.798
12/13/2005 06:00,1.199
12/13/2005 07:00,1.177
12/13/2005 08:00,0.824
12/13/2005 09:00,0.857
12/13/2005 10:00,1.262
12/13/2005 11:00,1.503
12/13/2005 12:00,2.149
12/13/2005 13:00,3.174
12/13/2005 14:00,2.938
12/13/2005 15:00,1.908
12/13/2005 16:00,0.826
12/13/2005 17:00,0.602
12/13/2005 18:00,0.951
12/13/2005 19:00,1.301
12/13/2005 20:00,1.179
12/13/2005 21:00,1.67
12/13/2005 22:00,0.899
12/13/2005 23:00,0.71
12/14/2005 00:00,0.776
12/14/2005 01:00,0.736
12/14/2005 02:00,0.723
12/14/2005 03:00,0.773
12/14/2005 04:00,0.742
12/14/2005 05:00,0.742
12/14/2005 06:00,1.183
12/14/2005 07:00,1.179
12/14/2005 08:00,0.868
12/14/2005 09:00,1.037
12/14/2005 10:00,1.249
12/14/2005 11:00,1.584
12/14/2005 12:00,3.322
12/14/2005 13:00,3.543
12/14/2005 14:00,2.968
12/14/2005 15:00,1.86
12/14/2005 16:00,0.813
12/14/2005 17:00,0.831
12/14/2005 18:00,0.897
12/14/2005 19:00,1.137
12/14/2005 20:00,0.99
12/14/2005 21:00,0.799
12/14/2005 22:00,0.748
12/14/2005 23:00,0.778
12/15/2005 00:00,0.846
12/15/2005 01:00,0.77
12/15/2005 02:00,0.812
12/15/2005 03:00,0.81
12/15/2005 04:00,0.897
12/15/2005 05:00,0.974
12/15/2005 06:00,1.083
12/15/2005 07:00,1.024
12/15/2005 08:00,1.213
12/15/2005 09:00,1.231
12/15/2005 10:00,1.216
12/15/2005 11:00,1.59
12/15/2005 12:00,3.173
12/15/2005 13:00,3.499
12/15/2005 14:00,2.962
12/15/2005 15:00,1.944
12/15/2005 16:00,0.942
12/15/2005 17:00,0.803
12/15/2005 18:00,0.828
12/15/2005 19:00,0.751
12/15/2005 20:00,0.755
12/15/2005 21:00,0.798
12/15/2005 22:00,0.84
12/15/2005 23:00,0.736
12/16/2005 00:00,0.903
12/16/2005 01:00,0.88
12/16/2005 02:00,0.885
12/16/2005 03:00,0.853
12/16/2005 04:00,0.839
12/16/2005 05:00,0.883
12/16/2005 06:00,1.302
12/16/2005 07:00,1.273
12/16/2005 08:00,0.969
12/16/2005 09:00,1.111
12/16/2005 10:00,1.343
12/16/2005 11:00,1.746
12/16/2005 12:00,3.089
12/16/2005 13:00,3.419
12/16/2005 14:00,2.414
12/16/2005 15:00,1.276
12/16/2005 16:00,0.895
12/16/2005 17:00,0.752
12/16/2005 18:00,0.81
12/16/2005 19:00,1.067
12/16/2005 20:00,1.024
12/16/2005 21:00,0.84
12/16/2005 22:00,0.959
12/16/2005 23:00,0.946
12/17/2005 00:00,0.845
12/17/2005 01:00,0.94
12/17/2005 02:00,0.888
12/17/2005 03:00,0.881
12/17/2005 04:00,1.081
12/17/2005 05:00,0.832
12/17/2005 06:00,1.383
12/17/2005 07:00,1.345
12/17/2005 08:00,1.218
12/17/2005 09:00,1.246
12/17/2005 10:00,1.252
12/17/2005 11:00,1.312
12/17/2005 12:00,1.541
12/17/2005 13:00,1.531
