,offset,h1,h2,skills_mean,skills_pos
0,0.0,0.0,5.0,0.02,0.5
1,0.0,0.0,6.0,0.014,0.583
2,0.0,0.0,7.0,0.014,0.583
3,0.0,0.0,8.0,0.016,0.583
4,0.0,0.0,9.0,0.036,0.583
5,0.0,0.0,10.0,0.061,0.583
6,0.0,0.0,11.0,0.075,0.583
7,0.0,0.0,12.0,0.093,0.583
8,0.0,0.0,13.0,0.128,0.583
9,0.0,0.0,14.0,0.178,0.583
10,0.0,0.0,15.0,0.21,0.583
11,0.0,0.0,16.0,0.238,0.667
12,0.0,0.0,17.0,0.264,0.667
13,0.0,0.0,18.0,0.266,0.667
14,0.0,0.0,19.0,0.28,0.667
15,0.0,0.0,20.0,0.279,0.667
16,0.0,0.0,21.0,0.281,0.667
17,0.0,0.0,22.0,0.285,0.667
18,0.0,0.0,23.0,0.285,0.667
19,0.0,0.0,24.0,0.286,0.667
20,0.0,1.0,6.0,0.015,0.583
21,0.0,1.0,7.0,0.015,0.583
22,0.0,1.0,8.0,0.018,0.583
23,0.0,1.0,9.0,0.038,0.583
24,0.0,1.0,10.0,0.062,0.583
25,0.0,1.0,11.0,0.077,0.583
26,0.0,1.0,12.0,0.095,0.583
27,0.0,1.0,13.0,0.129,0.583
28,0.0,1.0,14.0,0.18,0.583
29,0.0,1.0,15.0,0.212,0.583
30,0.0,1.0,16.0,0.24,0.667
31,0.0,1.0,17.0,0.266,0.667
32,0.0,1.0,18.0,0.268,0.667
33,0.0,1.0,19.0,0.282,0.667
34,0.0,1.0,20.0,0.281,0.667
35,0.0,1.0,21.0,0.282,0.667
36,0.0,1.0,22.0,0.286,0.667
37,0.0,1.0,23.0,0.287,0.667
38,0.0,1.0,24.0,0.287,0.667
39,0.0,2.0,7.0,0.016,0.583
40,0.0,2.0,8.0,0.018,0.583
41,0.0,2.0,9.0,0.038,0.583
42,0.0,2.0,10.0,0.063,0.583
43,0.0,2.0,11.0,0.077,0.583
44,0.0,2.0,12.0,0.095,0.583
45,0.0,2.0,13.0,0.13,0.583
46,0.0,2.0,14.0,0.18,0.583
47,0.0,2.0,15.0,0.212,0.583
48,0.0,2.0,16.0,0.24,0.667
49,0.0,2.0,17.0,0.266,0.667
50,0.0,2.0,18.0,0.268,0.667
51,0.0,2.0,19.0,0.282,0.667
52,0.0,2.0,20.0,0.281,0.667
53,0.0,2.0,21.0,0.283,0.667
54,0.0,2.0,22.0,0.287,0.667
55,0.0,2.0,23.0,0.288,0.667
56,0.0,2.0,24.0,0.288,0.667
57,0.0,3.0,8.0,0.019,0.583
58,0.0,3.0,9.0,0.039,0.583
59,0.0,3.0,10.0,0.063,0.583
60,0.0,3.0,11.0,0.078,0.583
61,0.0,3.0,12.0,0.096,0.583
62,0.0,3.0,13.0,0.13,0.583
63,0.0,3.0,14.0,0.181,0.583
64,0.0,3.0,15.0,0.213,0.583
65,0.0,3.0,16.0,0.241,0.667
66,0.0,3.0,17.0,0.267,0.667
67,0.0,3.0,18.0,0.269,0.667
68,0.0,3.0,19.0,0.283,0.667
69,0.0,3.0,20.0,0.282,0.667
70,0.0,3.0,21.0,0.283,0.667
71,0.0,3.0,22.0,0.287,0.667
72,0.0,3.0,23.0,0.288,0.667
73,0.0,3.0,24.0,0.288,0.667
74,0.0,4.0,9.0,0.039,0.583
75,0.0,4.0,10.0,0.064,0.583
76,0.0,4.0,11.0,0.078,0.583
77,0.0,4.0,12.0,0.097,0.583
78,0.0,4.0,13.0,0.131,0.583
79,0.0,4.0,14.0,0.182,0.583
80,0.0,4.0,15.0,0.213,0.583
81,0.0,4.0,16.0,0.241,0.667
82,0.0,4.0,17.0,0.267,0.667
83,0.0,4.0,18.0,0.27,0.667
84,0.0,4.0,19.0,0.284,0.667
85,0.0,4.0,20.0,0.283,0.667
86,0.0,4.0,21.0,0.284,0.667
87,0.0,4.0,22.0,0.288,0.667
88,0.0,4.0,23.0,0.289,0.667
89,0.0,4.0,24.0,0.289,0.667
90,0.0,5.0,10.0,0.065,0.583
91,0.0,5.0,11.0,0.079,0.583
92,0.0,5.0,12.0,0.097,0.583
93,0.0,5.0,13.0,0.132,0.583
94,0.0,5.0,14.0,0.182,0.583
95,0.0,5.0,15.0,0.214,0.583
96,0.0,5.0,16.0,0.242,0.667
97,0.0,5.0,17.0,0.268,0.667
98,0.0,5.0,18.0,0.271,0.667
99,0.0,5.0,19.0,0.284,0.667
100,0.0,5.0,20.0,0.283,0.667
101,0.0,5.0,21.0,0.285,0.667
102,0.0,5.0,22.0,0.289,0.667
103,0.0,5.0,23.0,0.29,0.667
104,0.0,5.0,24.0,0.29,0.667
105,0.0,6.0,11.0,0.085,0.583
106,0.0,6.0,12.0,0.103,0.583
107,0.0,6.0,13.0,0.138,0.583
108,0.0,6.0,14.0,0.188,0.583
109,0.0,6.0,15.0,0.22,0.583
110,0.0,6.0,16.0,0.248,0.667
111,0.0,6.0,17.0,0.274,0.667
112,0.0,6.0,18.0,0.277,0.667
113,0.0,6.0,19.0,0.291,0.667
114,0.0,6.0,20.0,0.289,0.667
115,0.0,6.0,21.0,0.291,0.667
116,0.0,6.0,22.0,0.295,0.667
117,0.0,6.0,23.0,0.296,0.667
118,0.0,6.0,24.0,0.296,0.667
119,0.0,7.0,12.0,0.103,0.583
120,0.0,7.0,13.0,0.138,0.583
121,0.0,7.0,14.0,0.188,0.583
122,0.0,7.0,15.0,0.22,0.583
