,timestamp_update,skill_mae,mae_pers,mae_lstm,skill_mape,mape_pers,mape_lstm,mase
0,2019-12-27,0.17,91.709,76.113,,inf,inf,0.83
1,2019-12-30,-0.091,70.784,77.22,,inf,inf,1.091
2,2019-12-31,0.364,109.285,69.541,,inf,inf,0.636
3,2020-01-01,0.492,109.285,55.52,,inf,inf,0.508
4,2020-01-02,0.588,78.932,32.504,,inf,inf,0.412
5,2020-01-06,-0.011,50.25,50.799,,inf,inf,1.011
6,2020-01-07,0.544,92.326,42.136,-inf,0.638,inf,0.456
7,2020-01-08,0.728,98.054,26.651,-inf,0.613,inf,0.272
8,2020-01-09,0.656,63.051,21.701,-inf,0.471,inf,0.344
9,2020-01-10,0.682,72.922,23.155,-inf,0.559,inf,0.318
10,2020-01-13,0.06,41.083,38.637,,inf,inf,0.94
11,2020-01-14,-0.319,37.655,49.681,,inf,inf,1.319
12,2020-01-15,-0.264,29.264,36.988,,inf,inf,1.264
